provider_id,provider_name,region,total_claims,denied_claims,total_billed,total_allowed,total_paid,member_responsibility,member_months,unique_members,average_cost_per_claim,reimbursement_rate,allowed_rate,denial_rate,pmpm_contribution,benchmark_variance_amount,medicare_benchmark_total,benchmark_variance_pct,efficiency_score,efficiency_rank,financial_risk,reimbursement_deviation_score,reimbursement_deviation_severity,provider_cluster,provider_segment,provider_risk_score,provider_risk_tier,high_cost_provider_flag
PRV004,Provider Group 04,South,460,20,1707009.34,1060283.84,890735.98,99073.39,9591,447,1936.3825652173912,0.5218108414099245,0.6211353477421512,0.043478260869565216,92.87206547805233,204310.94,855972.9,0.23868856128505936,0.8999999999999999,39,High,23.868856128505936,High,2,High-cost provider segment,80.44,Critical,1
PRV017,Provider Group 17,South,506,53,1404102.33,854875.86,684867.25,87602.14,9608,493,1353.4925889328063,0.4877616362904262,0.6088415649876459,0.10474308300395258,71.28093776019983,106367.04999999997,748508.81,0.14210527461927933,0.8250000000000001,38,High,14.210527461927933,Moderate,3,Denial-risk provider segment,57.55,High,1
PRV012,Provider Group 12,West,488,22,1210393.35,759374.84,635148.45,78672.92,9607,475,1301.5337090163935,0.5247454887289326,0.6273785625144089,0.045081967213114756,66.11308941396898,107356.91999999998,652017.92,0.16465332731959265,0.78125,37,High,16.465332731959265,Moderate,1,Moderate-risk provider segment,38.02,Moderate,0
PRV009,Provider Group 09,Northeast,534,21,1180691.61,753138.8,648225.9,70514.31,9580,519,1213.9061797752809,0.5490221955587539,0.6378793527634197,0.03932584269662921,67.66449895615867,111554.75000000001,641584.05,0.1738739452765386,0.71,34,Medium,17.38739452765386,Moderate,1,Moderate-risk provider segment,36.64,Moderate,0
PRV023,Provider Group 23,West,497,41,941559.38,592675.35,485438.79,56826.22,9584,481,976.7380080482897,0.5155689596549927,0.6294614684843349,0.08249496981891348,50.65095888981636,89973.24000000002,502702.11,0.1789792368287454,0.5575,24,Medium,17.897923682874538,Moderate,0,Efficient provider segment,35.68,Moderate,0
PRV011,Provider Group 11,Midwest,479,18,1120130.25,706372.13,607320.33,68808.69,9609,468,1267.8921294363256,0.5421872411712834,0.6306160645157115,0.037578288100208766,63.203281298782386,105401.11,600971.02,0.17538467994679677,0.70375,33,Medium,17.538467994679678,Moderate,1,Moderate-risk provider segment,34.92,Moderate,0
PRV039,Provider Group 39,Northeast,508,25,1271649.15,789401.93,654250.6,82060.22,9600,492,1287.8948818897638,0.5144898653846464,0.620770225812678,0.04921259842519685,68.15110416666667,91943.01999999999,697458.91,0.1318257157256762,0.7100000000000001,35,Medium,13.18257157256762,Moderate,3,Denial-risk provider segment,34.71,Moderate,1
PRV002,Provider Group 02,Midwest,484,24,1092993.1300000001,690172.01,589499.02,69605.77,9608,473,1217.973181818182,0.5393437559849987,0.6314513706046807,0.049586776859504134,61.35501873438801,97203.26,592968.75,0.16392644637681159,0.72375,36,Medium,16.39264463768116,Moderate,1,Moderate-risk provider segment,34.58,Moderate,0
PRV010,Provider Group 10,Midwest,516,16,1148312.92,732637.21,626162.54,75304.45,9579,498,1213.4932945736434,0.5452891185792808,0.6380118147586461,0.031007751937984496,65.36825764693602,111958.98999999999,620678.22,0.1803816960098906,0.6687500000000001,32,Medium,18.03816960098906,Moderate,1,Moderate-risk provider segment,33.69,Moderate,0
PRV001,Provider Group 01,South,511,20,1193416.69,748233.5,612017.77,72337.66,9588,495,1197.6864383561644,0.5128282310179524,0.6269675179421197,0.03913894324853229,63.831640592407176,106727.92000000001,641505.58,0.16637099243937992,0.6337499999999999,31,Medium,16.637099243937993,Moderate,1,Moderate-risk provider segment,32.65,Moderate,0
PRV038,Provider Group 38,South,519,27,1057943.05,677797.94,574355.47,69414.04,9584,507,1106.657938342967,0.54289828738891,0.640675261300691,0.05202312138728324,59.92857575125208,94171.08999999998,583626.8500000001,0.16135496507742914,0.62,30,Medium,16.135496507742914,Moderate,1,Moderate-risk provider segment,31.51,Moderate,0
PRV025,Provider Group 25,South,526,22,1111493.86,698766.9,594870.48,65552.58,9602,509,1130.9324714828897,0.5351990698356174,0.6286736482736845,0.04182509505703422,61.95276817329723,97291.70999999999,601475.19,0.16175515069873456,0.59,27,Medium,16.175515069873455,Moderate,1,Moderate-risk provider segment,30.11,Moderate,0
